,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,timestampdiff,change_session,session,session_nth
36,1058119,24600,3719,0,22,2,0.0,10000.0,True,3719,3,5,125,-1,,44109.0,0,0,36
37,1099651,24600,9821,0,23,1,0.0,13000.0,True,9821,3,5,73,-1,,41532.0,0,0,37
38,1161098,24600,4473,0,24,0,0.0,27000.0,True,4473,1,5,132,-1,,61447.0,0,0,38
39,1201410,24600,4108,0,25,2,0.0,54000.0,True,4108,0,5,23,-1,,40312.0,0,0,39
40,1326986,24600,646,0,26,3,1.0,29000.0,True,646,3,2,69 17 56 81 92,-1,,125576.0,0,0,40
41,1353977,24600,1067,0,27,1,1.0,30000.0,True,1067,1,2,129 2 56 162 38 92,-1,,26991.0,0,0,41
42,1377689,24600,940,0,28,3,0.0,18000.0,True,940,0,2,143 20 38 29,-1,,23712.0,0,0,42
43,1403698,24600,10685,0,29,0,1.0,16000.0,True,10685,0,2,69 137 142 38 29,-1,,26009.0,0,0,43
44,1426174,24600,817,0,30,1,1.0,18000.0,True,817,1,2,17 56 38 29,-1,,22476.0,0,0,44
45,1453702,24600,1262,0,31,0,0.0,16000.0,True,1262,1,2,143 71 81 29,-1,,27528.0,0,0,45
46,1477283,24600,1348,0,32,3,1.0,19000.0,True,1348,3,2,143 105 81 92,-1,,23581.0,0,0,46
47,1502268,24600,10686,0,33,3,0.0,14000.0,True,10686,0,2,62 137 142 38 29,-1,,24985.0,0,0,47
48,1526285,24600,754,0,34,3,0.0,19000.0,True,754,1,2,137 88 38 81,-1,,24017.0,0,0,48
49,1550831,24600,801,0,35,0,1.0,14000.0,True,801,0,2,143 20 38 29,-1,,24546.0,0,0,49
