,user_id,content_id,content_type_id,part,answered_correctly,is_val
1644,385630,7418,0,7,0,1
1645,385630,7347,0,7,1,1
1646,385630,7346,0,7,0,1
1647,385630,29695,1,6,-1,1
2104,408250,130,0,1,1,1
2105,408250,10502,0,1,1,1
2106,408250,8,0,1,1,1
2107,408250,83,0,1,0,1
2108,408250,84,0,1,1,1
2109,408250,10589,0,1,1,1
2110,408250,18,0,1,1,1
2111,408250,2,0,1,1,1
2112,408250,163,0,1,1,1
2113,408250,10614,0,1,1,1
2114,408250,141,0,1,1,1
2115,408250,95,0,1,1,1
2116,408250,85,0,1,1,1
2117,408250,10667,0,1,1,1
2118,408250,32,0,1,1,1
2119,408250,191,0,1,1,1
2120,408250,89,0,1,1,1
2121,408250,10618,0,1,1,1
2122,408250,110,0,1,1,1
2123,408250,9,0,1,0,1
2124,408250,7859,0,1,0,1
2125,408250,10601,0,1,0,1
2126,408250,144,0,1,1,1
2127,408250,7920,0,1,0,1
2128,408250,64,0,1,1,1
2129,408250,10621,0,1,1,1
2130,408250,7871,0,1,1,1
2131,408250,7972,0,1,1,1
2132,408250,7903,0,1,0,1
2133,408250,10575,0,1,1,1
2134,408250,5164,0,5,1,1
2135,408250,8567,0,5,1,1
2136,408250,5691,0,5,0,1
2137,408250,3609,0,5,1,1
2138,408250,9259,0,5,1,1
2139,408250,3916,0,5,0,1
2140,408250,4976,0,5,0,1
2141,408250,6154,0,5,1,1
2142,408250,5400,0,5,0,1
2143,408250,12811,1,5,-1,1
2144,408250,5400,0,5,1,1
2145,408250,5367,0,5,1,1
2146,408250,8696,0,5,0,1
2147,408250,4434,0,5,0,1
2148,408250,15888,1,5,-1,1
2149,408250,4434,0,5,1,1
2150,408250,5691,0,5,1,1
2151,408250,6318,0,5,0,1
2152,408250,5760,0,5,1,1
2153,408250,8413,0,5,0,1
2154,408250,4073,0,5,1,1
2169,444790,9780,0,5,0,1
2170,444790,8398,0,5,0,1
2917,475020,7486,0,7,1,1
2918,475020,7488,0,7,1,1
2919,475020,7484,0,7,1,1
2920,475020,7487,0,7,0,1
2921,475020,7485,0,7,1,1
2922,475020,7116,0,7,1,1
2923,475020,7113,0,7,1,1
2924,475020,7115,0,7,0,1
2925,475020,7114,0,7,1,1
2926,475020,16874,1,6,-1,1
2927,475020,12164,0,2,1,1
2928,475020,10300,0,6,1,1
2929,475020,10302,0,6,0,1
2930,475020,10301,0,6,1,1
2931,475020,10303,0,6,1,1
2932,475020,1518,0,3,1,1
2933,475020,1517,0,3,1,1
2934,475020,1519,0,3,1,1
2935,475020,2496,0,3,1,1
2936,475020,2495,0,3,1,1
2937,475020,2494,0,3,0,1
2938,475020,2210,0,3,0,1
2939,475020,2211,0,3,1,1
2940,475020,2209,0,3,1,1
2941,475020,6788,0,6,1,1
2942,475020,6785,0,6,1,1
2943,475020,6787,0,6,1,1
2944,475020,6786,0,6,1,1
2945,475020,2096,0,3,1,1
2946,475020,2098,0,3,1,1
2947,475020,2097,0,3,0,1
2948,475020,1982,0,3,0,1
2949,475020,1984,0,3,0,1
2950,475020,1983,0,3,1,1
2951,475020,2372,0,3,0,1
2952,475020,2373,0,3,0,1
2953,475020,2371,0,3,1,1
2954,475020,1719,0,3,1,1
2955,475020,1720,0,3,1,1
2956,475020,1718,0,3,0,1
2957,475020,2250,0,3,0,1
2958,475020,2248,0,3,0,1
2959,475020,2249,0,3,1,1
2960,475020,3937,1,6,-1,1
2961,475020,13005,0,3,1,1
2962,475020,13004,0,3,1,1
2963,475020,13006,0,3,1,1
2964,475020,10202,0,6,1,1
2965,475020,10203,0,6,1,1
2966,475020,10200,0,6,1,1
2967,475020,10201,0,6,0,1
2968,475020,6848,0,6,1,1
2969,475020,6846,0,6,1,1
2970,475020,6847,0,6,1,1
2971,475020,6845,0,6,1,1
2972,475020,6857,0,6,1,1
2973,475020,6858,0,6,1,1
2974,475020,6860,0,6,1,1
2975,475020,6859,0,6,1,1
2976,475020,2159,0,3,1,1
2977,475020,2161,0,3,0,1
2978,475020,2160,0,3,1,1
2979,475020,1453,0,3,1,1
2980,475020,1451,0,3,1,1
2981,475020,1452,0,3,1,1
2982,475020,1628,0,3,0,1
2983,475020,1630,0,3,0,1
2984,475020,1629,0,3,0,1
2985,475020,2335,0,3,1,1
2986,475020,2337,0,3,0,1
2987,475020,2336,0,3,0,1
2988,475020,2027,0,3,1,1
2989,475020,2028,0,3,0,1
2990,475020,2029,0,3,1,1
2991,475020,2154,0,3,1,1
2992,475020,2155,0,3,0,1
2993,475020,2153,0,3,1,1
2994,475020,1612,0,3,1,1
2995,475020,1611,0,3,0,1
2996,475020,1610,0,3,0,1
2997,475020,7008,1,6,-1,1
2998,475020,11016,0,6,1,1
2999,475020,11017,0,6,1,1
