,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,previous_answer_index_content_id,previous_answer_content_id,flg,previous_answer_index_question_id,previous_answer_question_id
116,26537,635183877,475020,16874,1,423,-1,-1,,False,65535,-1,-1,6,,53,concept,-99,-99,True,-99,-99
119,26571,721761359,475020,3937,1,434,-1,-1,,False,65535,-1,-1,6,,23,concept,-99,-99,True,-99,-99
121,26608,806494092,475020,7008,1,446,-1,-1,,False,65535,-1,-1,6,,53,solving question,-99,-99,True,-99,-99
122,26679,894230822,475020,20843,1,474,-1,-1,,False,65535,-1,-1,3,,161,solving question,-99,-99,True,-99,-99
125,26707,979765783,475020,21094,1,483,-1,-1,,False,65535,-1,-1,3,,161,solving question,-99,-99,True,-99,-99
126,26743,1064951906,475020,20307,1,504,-1,-1,,False,65535,-1,-1,6,,170,concept,-99,-99,True,-99,-99
128,26769,1180612918,475020,26711,1,514,-1,-1,,False,65535,-1,-1,6,,55,concept,-99,-99,True,-99,-99
131,26785,1238646760,475020,23815,1,520,-1,-1,,False,65535,-1,-1,3,,113,concept,-99,-99,True,-99,-99
132,26804,1324612752,475020,32570,1,525,-1,-1,,False,65535,-1,-1,3,,113,solving question,-99,-99,True,-99,-99
134,26821,1462360208,475020,26946,1,530,-1,-1,,False,65535,-1,-1,3,,113,solving question,-99,-99,True,-99,-99
136,26848,1569568683,475020,10928,1,541,-1,-1,,False,65535,-1,-1,3,,136,solving question,-99,-99,True,-99,-99
139,26863,1586398929,475020,27728,1,545,-1,-1,,False,65535,-1,-1,3,,136,solving question,-99,-99,True,-99,-99
4262,25782,0,475020,4849,0,0,3,1,,,4849,4849,3,5,96,-1,,-99,-99,True,-99,-99
4264,25783,19722,475020,5522,0,1,1,1,21000.0,False,5522,5522,1,5,89,-1,,-99,-99,True,-99,-99
4267,25784,49898,475020,9800,0,2,3,0,15000.0,False,9800,9800,2,5,96,-1,,-99,-99,True,-99,-99
4268,25785,75843,475020,4094,0,3,2,0,27000.0,False,4094,4094,1,5,1,-1,,-99,-99,True,-99,-99
4271,25786,117395,475020,9136,0,4,1,0,23000.0,False,9136,9136,0,5,53,-1,,-99,-99,True,-99,-99
4273,25787,174134,475020,3612,0,5,0,0,37000.0,False,3612,3612,2,5,53,-1,,-99,-99,True,-99,-99
4274,25788,242676,475020,9958,0,6,1,0,52000.0,False,9958,9958,2,5,53,-1,,-99,-99,True,-99,-99
4276,25789,27515424,475020,5272,0,7,2,1,63000.0,False,5272,5272,2,5,174,-1,,-99,-99,True,-99,-99
4278,25790,27622888,475020,8399,0,8,1,0,12000.0,True,8399,8399,0,5,58,-1,,-99,-99,True,-99,-99
4280,25791,27731506,475020,3969,0,9,0,1,22000.0,True,3969,3969,0,5,4,-1,,-99,-99,True,-99,-99
4282,25792,27769084,475020,13284,0,10,0,1,30000.0,True,13284,13284,0,5,181,-1,,-99,-99,True,-99,-99
4285,25793,27812684,475020,3635,0,11,2,0,12000.0,True,3635,3635,1,5,15,-1,,-99,-99,True,-99,-99
4287,25794,27876887,475020,11254,0,12,3,1,22000.0,True,11254,11254,3,5,182,-1,,-99,-99,True,-99,-99
4288,25795,27939211,475020,9596,0,13,2,0,32000.0,True,9596,9596,3,5,73,-1,,-99,-99,True,-99,-99
4290,25796,27979981,475020,13486,0,14,1,0,35000.0,True,13486,13486,3,5,166,-1,,-99,-99,True,-99,-99
4292,25797,28054439,475020,9239,0,15,2,1,11000.0,True,9239,9239,2,5,47,-1,,-99,-99,True,-99,-99
4294,25798,28101104,475020,8536,0,16,3,0,36000.0,True,8536,8536,1,5,24,-1,,-99,-99,True,-99,-99
4296,25800,58928327,475020,5717,0,18,2,1,13000.0,True,5717,5717,2,5,85,-1,,-99,-99,True,-99,-99
4298,25801,58968946,475020,5154,0,19,0,1,19000.0,True,5154,5154,0,5,108,-1,,-99,-99,True,-99,-99
4300,25802,58985493,475020,4984,0,20,1,1,28000.0,True,4984,4984,1,5,85,-1,,-99,-99,True,-99,-99
4303,25803,59029024,475020,13460,0,21,1,0,5000.0,True,13460,13460,0,5,73,-1,,-99,-99,True,-99,-99
4304,25804,59064675,475020,4995,0,22,3,1,25000.0,True,4995,4995,3,5,172,-1,,-99,-99,True,-99,-99
4307,25805,59115494,475020,4475,0,23,0,1,16000.0,True,4475,4475,0,5,181,-1,,-99,-99,True,-99,-99
4308,25806,61800329,475020,3182,0,24,0,0,28000.0,True,3182,3180,3,4,157 83 29,-1,,-99,-99,True,-99,-99
4311,25807,61800329,475020,3180,0,24,0,0,28000.0,True,3180,3180,1,4,161 83 29,-1,,-99,-99,True,-99,-99
4313,25808,61800329,475020,3181,0,24,0,0,28000.0,True,3181,3180,2,4,136 83 29,-1,,-99,-99,True,-99,-99
4314,25809,62002555,475020,2772,0,25,2,1,2000.0,True,2772,2770,2,4,157 171 81,-1,,-99,-99,True,-99,-99
4317,25810,62002555,475020,2771,0,25,2,1,2000.0,True,2771,2770,2,4,136 171 81,-1,,-99,-99,True,-99,-99
4318,25811,62002555,475020,2770,0,25,0,1,2000.0,True,2770,2770,0,4,74 171 81,-1,,-99,-99,True,-99,-99
4320,25812,62283627,475020,2593,0,26,3,1,23333.0,True,2593,2593,3,4,136 103 102,-1,,-99,-99,True,-99,-99
4322,25813,62283627,475020,2594,0,26,2,1,23333.0,True,2594,2593,2,4,161 103 102,-1,,-99,-99,True,-99,-99
4325,25814,62283627,475020,2595,0,26,1,0,23333.0,True,2595,2593,0,4,82 103 102,-1,,-99,-99,True,-99,-99
4327,25815,62561003,475020,10718,0,27,1,0,41666.0,True,10718,10716,2,4,82 81 3,-1,,-99,-99,True,-99,-99
4328,25816,62561003,475020,10717,0,27,0,0,41666.0,True,10717,10716,3,4,136 81 3,-1,,-99,-99,True,-99,-99
4330,25817,62561003,475020,10716,0,27,0,1,41666.0,True,10716,10716,0,4,74 81 3,-1,,-99,-99,True,-99,-99
4332,25818,62851731,475020,10730,0,28,0,1,35333.0,True,10730,10728,0,4,136 81 3,-1,,-99,-99,True,-99,-99
4335,25819,62851731,475020,10728,0,28,3,1,35333.0,True,10728,10728,3,4,74 81 3,-1,,-99,-99,True,-99,-99
4337,25820,62851731,475020,10729,0,28,0,0,35333.0,True,10729,10728,3,4,136 81 3,-1,,-99,-99,True,-99,-99
4338,25821,63003644,475020,10422,0,29,0,1,41000.0,True,10422,10422,0,1,131 149 92,-1,,-99,-99,True,-99,-99
4341,25822,63072576,475020,10431,0,30,2,1,33000.0,True,10431,10431,2,1,131 104 29,-1,,-99,-99,True,-99,-99
4342,25823,63137330,475020,58,0,31,3,0,28000.0,True,58,58,0,1,10 164 92,-1,,-99,-99,True,-99,-99
4345,25824,63199653,475020,10387,0,32,1,0,33000.0,True,10387,10387,3,1,131 99 81,-1,,-99,-99,True,-99,-99
4347,25825,63280418,475020,7898,0,33,2,1,27000.0,True,7898,7898,2,1,131 99 29,-1,,-99,-99,True,-99,-99
4349,25826,63374265,475020,7903,0,34,3,0,38000.0,True,7903,7903,1,1,10 94 92,-1,,-99,-99,True,-99,-99
4350,25827,63769541,475020,6894,0,35,0,1,31000.0,True,6894,6892,0,6,8 162,-1,,-99,-99,True,-99,-99
4353,25828,63769541,475020,6892,0,35,0,1,31000.0,True,6892,6892,0,6,79 162,-1,,-99,-99,True,-99,-99
4355,25829,63769541,475020,6895,0,35,1,1,31000.0,True,6895,6892,1,6,27 162,-1,,-99,-99,True,-99,-99
4357,25830,63769541,475020,6893,0,35,0,0,31000.0,True,6893,6892,2,6,52 162,-1,,-99,-99,True,-99,-99
4358,25831,64038395,475020,10754,0,36,2,1,53500.0,True,10754,10751,2,6,1,-1,,-99,-99,True,-99,-99
4360,25832,64038395,475020,10753,0,36,2,0,53500.0,True,10753,10751,3,6,147,-1,,-99,-99,True,-99,-99
4362,25833,64038395,475020,10751,0,36,0,1,53500.0,True,10751,10751,0,6,27,-1,,-99,-99,True,-99,-99
4365,25834,64038395,475020,10752,0,36,3,1,53500.0,True,10752,10751,3,6,53,-1,,-99,-99,True,-99,-99
4366,25835,64224585,475020,10920,0,37,0,1,52000.0,True,10920,10919,0,6,14,-1,,-99,-99,True,-99,-99
4368,25836,64224585,475020,10922,0,37,1,0,52000.0,True,10922,10919,0,6,27,-1,,-99,-99,True,-99,-99
4371,25837,64224585,475020,10919,0,37,3,1,52000.0,True,10919,10919,3,6,7,-1,,-99,-99,True,-99,-99
4372,25838,64224585,475020,10921,0,37,0,0,52000.0,True,10921,10919,1,6,73,-1,,-99,-99,True,-99,-99
4375,25839,64552436,475020,6772,0,38,2,0,33250.0,True,6772,6769,0,6,79,-1,,-99,-99,True,-99,-99
4377,25840,64552436,475020,6770,0,38,2,1,33250.0,True,6770,6769,2,6,7,-1,,-99,-99,True,-99,-99
4379,25841,64552436,475020,6771,0,38,1,1,33250.0,True,6771,6769,1,6,27,-1,,-99,-99,True,-99,-99
4381,25842,64552436,475020,6769,0,38,0,1,33250.0,True,6769,6769,0,6,173,-1,,-99,-99,True,-99,-99
4383,25843,67907596,475020,10881,0,40,2,1,56000.0,True,10881,10879,2,6,64,-1,,-99,-99,True,-99,-99
4385,25844,67907596,475020,10879,0,40,1,1,56000.0,True,10879,10879,1,6,14,-1,,6,0,True,6,0
4386,25845,67907596,475020,10882,0,40,1,0,56000.0,True,10882,10879,3,6,179,-1,,-99,-99,True,-99,-99
4389,25846,67907596,475020,10880,0,40,0,1,56000.0,True,10880,10879,0,6,27,-1,,-99,-99,True,-99,-99
4391,25847,68120875,475020,6875,0,41,2,0,44250.0,True,6875,6873,1,6,170 162,-1,,-99,-99,True,-99,-99
4392,25848,68120875,475020,6876,0,41,2,0,44250.0,True,6876,6873,0,6,1 162,-1,,-99,-99,True,-99,-99
4395,25849,68120875,475020,6873,0,41,0,0,44250.0,True,6873,6873,3,6,27 162,-1,,-99,-99,True,-99,-99
4396,25850,68120875,475020,6874,0,41,3,1,44250.0,True,6874,6873,3,6,23 162,-1,,-99,-99,True,-99,-99
4398,25851,68433221,475020,10040,0,42,0,0,37750.0,True,10040,10038,1,6,53,-1,,-99,-99,True,-99,-99
4401,25852,68433221,475020,10041,0,42,3,0,37750.0,True,10041,10038,0,6,27,-1,,-99,-99,True,-99,-99
4402,25853,68433221,475020,10038,0,42,2,1,37750.0,True,10038,10038,2,6,89,-1,,-99,-99,True,-99,-99
4404,25854,68433221,475020,10039,0,42,0,1,37750.0,True,10039,10038,0,6,28,-1,,-99,-99,True,-99,-99
4406,25855,68878511,475020,6846,0,43,3,1,54500.0,True,6846,6845,3,6,55 162,-1,,-99,-99,True,-99,-99
4408,25856,68878511,475020,6848,0,43,3,1,54500.0,True,6848,6845,3,6,27 162,-1,,-99,-99,True,-99,-99
4411,25857,68878511,475020,6847,0,43,0,0,54500.0,True,6847,6845,3,6,73 162,-1,,-99,-99,True,-99,-99
4412,25858,68878511,475020,6845,0,43,3,1,54500.0,True,6845,6845,3,6,53 162,-1,,-99,-99,True,-99,-99
4415,25860,69049216,475020,6846,0,45,3,1,45250.0,True,6846,6845,3,6,55 162,-1,,-99,-99,True,-99,-99
4417,25861,69049216,475020,6847,0,45,0,0,45250.0,True,6847,6845,3,6,73 162,-1,,20,0,True,20,0
4418,25862,69049216,475020,6848,0,45,3,1,45250.0,True,6848,6845,3,6,27 162,-1,,-99,-99,True,-99,-99
4420,25863,69049216,475020,6845,0,45,3,1,45250.0,True,6845,6845,3,6,53 162,-1,,2,1,True,2,1
4422,25864,69256792,475020,11000,0,46,1,0,19000.0,True,11000,10999,2,6,180,-1,,8,1,True,8,1
4424,25865,69256792,475020,11002,0,46,3,1,19000.0,True,11002,10999,3,6,27,-1,,12,1,True,12,1
4426,25866,69256792,475020,10999,0,46,1,0,19000.0,True,10999,10999,0,6,53,-1,,16,1,True,16,1
4428,25867,69256792,475020,11001,0,46,0,1,19000.0,True,11001,10999,0,6,179,-1,,20,0,True,20,0
4430,25868,69694957,475020,10029,0,47,2,1,33750.0,True,10029,10029,2,6,179,-1,,24,1,True,24,1
4433,25869,69694957,475020,10032,0,47,0,0,33750.0,True,10032,10029,2,6,48,-1,,30,1,True,30,1
4435,25870,69694957,475020,10031,0,47,3,0,33750.0,True,10031,10029,0,6,73,-1,,34,1,True,34,1
4437,25871,69694957,475020,10030,0,47,0,1,33750.0,True,10030,10029,0,6,27,-1,,38,1,True,38,1
4439,25872,70005315,475020,6746,0,48,2,0,56000.0,True,6746,6745,1,6,53 162,-1,,43,1,True,43,1
4441,25873,70005315,475020,6745,0,48,3,1,56000.0,True,6745,6745,3,6,1 162,-1,,-99,-99,True,-99,-99
4443,25874,70005315,475020,6748,0,48,0,0,56000.0,True,6748,6745,1,6,91 162,-1,,-99,-99,True,-99,-99
4445,25875,70005315,475020,6747,0,48,1,1,56000.0,True,6747,6745,1,6,27 162,-1,,-99,-99,True,-99,-99
4446,25876,70248337,475020,10274,0,49,3,1,60250.0,True,10274,10272,3,6,147,-1,,-99,-99,True,-99,-99
4448,25877,70248337,475020,10273,0,49,3,0,60250.0,True,10273,10272,2,6,182,-1,,-99,-99,True,-99,-99
4450,25878,70248337,475020,10272,0,49,1,0,60250.0,True,10272,10272,3,6,73,-1,,55,1,True,55,1
4452,25879,70248337,475020,10275,0,49,3,0,60250.0,True,10275,10272,0,6,27,-1,,59,0,True,59,0
4454,25880,70530304,475020,10760,0,50,2,1,42000.0,True,10760,10759,2,6,27,-1,,63,0,True,63,0
4456,25881,70530304,475020,10761,0,50,1,1,42000.0,True,10761,10759,1,6,79,-1,,67,1,True,67,1
4458,25882,70530304,475020,10759,0,50,1,0,42000.0,True,10759,10759,2,6,73,-1,,71,0,True,71,0
4460,25883,70530304,475020,10762,0,50,3,0,42000.0,True,10762,10759,0,6,181,-1,,-99,-99,True,-99,-99
4462,25884,70739868,475020,3182,0,51,3,1,46500.0,True,3182,3180,3,4,157 83 29,-1,,-99,-99,True,-99,-99
4465,25885,70739868,475020,3181,0,51,0,0,46500.0,True,3181,3180,2,4,136 83 29,-1,,-99,-99,True,-99,-99
4467,25886,70739868,475020,3180,0,51,1,1,46500.0,True,3180,3180,1,4,161 83 29,-1,,-99,-99,True,-99,-99
4469,25887,70853118,475020,2594,0,52,2,1,27333.0,True,2594,2593,2,4,161 103 102,-1,,-99,-99,True,-99,-99
4471,25888,70853118,475020,2593,0,52,3,1,27333.0,True,2593,2593,3,4,136 103 102,-1,,-99,-99,True,-99,-99
4473,25889,70853118,475020,2595,0,52,0,1,27333.0,True,2595,2593,0,4,82 103 102,-1,,-99,-99,True,-99,-99
4474,25890,71020164,475020,10717,0,53,3,1,26333.0,True,10717,10716,3,4,136 81 3,-1,,-99,-99,True,-99,-99
4476,25891,71020164,475020,10716,0,53,0,1,26333.0,True,10716,10716,0,4,74 81 3,-1,,-99,-99,True,-99,-99
4479,25892,71020164,475020,10718,0,53,2,1,26333.0,True,10718,10716,2,4,82 81 3,-1,,-99,-99,True,-99,-99
4481,25893,71227725,475020,10728,0,54,3,1,38000.0,True,10728,10728,3,4,74 81 3,-1,,-99,-99,True,-99,-99
4483,25894,71227725,475020,10730,0,54,0,1,38000.0,True,10730,10728,0,4,136 81 3,-1,,-99,-99,True,-99,-99
4485,25895,71227725,475020,10729,0,54,0,0,38000.0,True,10729,10728,3,4,136 81 3,-1,,-99,-99,True,-99,-99
4486,25896,71301125,475020,58,0,55,0,1,39333.0,True,58,58,0,1,10 164 92,-1,,-99,-99,True,-99,-99
4488,25897,71371664,475020,10387,0,56,3,1,27000.0,True,10387,10387,3,1,131 99 81,-1,,-99,-99,True,-99,-99
4490,25898,71470624,475020,7903,0,57,1,1,26000.0,True,7903,7903,1,1,10 94 92,-1,,-99,-99,True,-99,-99
4492,25900,74451645,475020,5199,0,59,1,1,31000.0,True,5199,5199,1,5,180,-1,,-99,-99,True,-99,-99
4495,25901,74471209,475020,13434,0,60,3,1,19000.0,True,13434,13434,3,5,79,-1,,-99,-99,True,79,-99
4497,25902,74513255,475020,4766,0,61,3,0,6000.0,True,4766,4766,0,5,127,-1,,2,0,True,2,0
4499,25903,74567602,475020,9079,0,62,0,1,21000.0,True,9079,9079,0,5,7,-1,,-99,-99,True,-99,-99
4501,25904,74666477,475020,5969,0,63,2,1,30000.0,True,5969,5969,2,5,152,-1,,-99,-99,True,-99,-99
4502,25905,74798878,475020,13402,0,64,1,0,51000.0,True,13402,13402,0,5,53,-1,,-99,-99,True,-99,-99
4504,25906,74855078,475020,3643,0,65,2,0,27000.0,True,3643,3643,1,5,108,-1,,-99,-99,True,-99,-99
4506,25907,74888419,475020,11264,0,66,1,0,37000.0,True,11264,11264,0,5,14,-1,,-99,-99,True,-99,-99
4509,25908,74943883,475020,11386,0,67,3,0,11000.0,True,11386,11386,2,5,177,-1,,-99,-99,True,-99,-99
4511,25909,74969176,475020,13345,0,68,1,0,40000.0,True,13345,13345,3,5,96,-1,,-99,-99,True,-99,-99
4512,25910,75001855,475020,8792,0,69,1,0,11000.0,True,8792,8792,0,5,181,-1,,-99,-99,True,16,-99
4515,25911,75080243,475020,8865,0,70,3,0,18000.0,True,8865,8865,0,5,53,-1,,16,1,True,16,1
4516,25912,75128373,475020,11697,0,71,1,1,55000.0,True,11697,11697,1,5,180,-1,,78,1,True,78,1
4518,25913,75167070,475020,13255,0,72,2,1,25000.0,True,13255,13255,2,5,173,-1,,150,1,True,150,1
4521,25914,75234569,475020,8011,0,73,0,1,24000.0,True,8011,8011,0,5,170,-1,,-99,-99,True,-99,-99
4523,25915,75272679,475020,9213,0,74,1,0,45000.0,True,9213,9213,0,5,159,-1,,77,0,True,77,0
4524,25916,75345850,475020,6287,0,75,2,1,9000.0,True,6287,6287,2,5,89,-1,,2,0,True,2,0
4526,25917,75408985,475020,13288,0,76,2,1,45000.0,True,13288,13288,2,5,53,-1,,-99,-99,True,-99,-99
4528,25918,75492435,475020,11349,0,77,1,0,41000.0,True,11349,11349,0,5,166,-1,,-99,-99,True,-99,-99
4531,25919,75555538,475020,5861,0,78,2,1,54000.0,True,5861,5861,2,5,180,-1,,-99,-99,True,-99,-99
4533,25920,75608112,475020,4370,0,79,1,1,30000.0,True,4370,4370,1,5,66,-1,,-99,-99,True,-99,-99
4535,25921,75645526,475020,13375,0,80,2,1,33000.0,True,13375,13375,2,5,79,-1,,164,1,True,164,1
4536,25922,75696677,475020,4129,0,81,2,1,22000.0,True,4129,4129,2,5,181,-1,,45,0,True,45,0
4539,25923,75805791,475020,8645,0,82,0,1,22000.0,True,8645,8645,0,5,31,-1,,54,1,True,54,1
4541,25924,75866779,475020,4821,0,83,3,0,75000.0,True,4821,4821,2,5,34,-1,,80,1,True,80,1
4543,25925,75898561,475020,13368,0,84,2,1,36000.0,True,13368,13368,2,5,4,-1,,89,1,True,89,1
4545,25926,82481748,475020,4453,0,85,0,0,15000.0,True,4453,4453,3,5,175,-1,,181,0,True,181,0
4546,25927,82535203,475020,9496,0,86,3,0,9000.0,True,9496,9496,2,5,112,-1,,49,1,True,49,1
4549,25928,82644733,475020,5332,0,87,3,1,29000.0,True,5332,5332,3,5,4,-1,,188,0,True,188,0
4551,25929,82693752,475020,13317,0,88,0,1,73000.0,True,13317,13317,0,5,25,-1,,182,0,True,182,0
4553,25930,82741165,475020,5156,0,89,1,1,20000.0,True,5156,5156,1,5,108,-1,,175,0,True,175,0
4555,25931,82813632,475020,8706,0,90,2,1,16000.0,True,8706,8706,2,5,177,-1,,-99,-99,True,-99,-99
4557,25932,82864465,475020,9474,0,91,1,1,24000.0,True,9474,9474,1,5,23,-1,,-99,-99,True,-99,-99
4558,25933,82936339,475020,13418,0,92,0,1,13000.0,True,13418,13418,0,5,53,-1,,-99,-99,True,-99,-99
4561,25934,82977767,475020,11717,0,93,0,1,46000.0,True,11717,11717,0,5,4,-1,,-99,-99,True,-99,-99
4562,25935,83045731,475020,4026,0,94,0,0,17000.0,True,4026,4026,3,5,48,-1,,-99,-99,True,-99,-99
4565,25936,83204053,475020,3940,0,95,3,1,37000.0,True,3940,3940,3,5,152,-1,,-99,-99,True,-99,-99
4567,25937,83234814,475020,13411,0,96,3,1,41000.0,True,13411,13411,3,5,109,-1,,-99,-99,True,-99,-99
4569,25938,83448126,475020,6167,0,97,1,0,17000.0,True,6167,6167,2,5,175,-1,,-99,-99,True,-99,-99
4570,25940,83580352,475020,6167,0,99,1,0,29000.0,True,6167,6167,2,5,175,-1,,-99,-99,True,-99,-99
4572,25941,83606650,475020,4453,0,100,3,1,27000.0,True,4453,4453,3,5,175,-1,,-99,-99,True,-99,-99
4575,25942,83661030,475020,8000,0,101,2,0,5000.0,True,8000,8000,3,5,116,-1,,20,0,True,20,0
4576,25943,83715828,475020,9457,0,102,0,0,25000.0,True,9457,9457,2,5,123,-1,,134,0,True,134,0
4579,25944,83763283,475020,13326,0,103,2,0,33000.0,True,13326,13326,3,5,79,-1,,16,0,True,16,0
4580,25945,83794476,475020,6052,0,104,2,1,31000.0,True,6052,6052,2,5,7,-1,,-99,-99,True,-99,-99
4583,25946,83856464,475020,4286,0,105,1,1,17000.0,True,4286,4286,1,5,4,-1,,-99,-99,True,-99,-99
4585,25947,83941141,475020,8635,0,106,2,1,40000.0,True,8635,8635,2,5,124,-1,,-99,-99,True,-99,-99
4587,25948,84014097,475020,13365,0,107,3,0,49000.0,True,13365,13365,0,5,8,-1,,-99,-99,True,-99,-99
4588,25949,84083963,475020,6042,0,108,0,1,35000.0,True,6042,6042,0,5,72,-1,,-99,-99,True,-99,-99
4590,25950,84127969,475020,8550,0,109,0,1,34000.0,True,8550,8550,0,5,54,-1,,-99,-99,True,12,-99
4592,25951,84181014,475020,8402,0,110,2,0,19000.0,True,8402,8402,0,5,182,-1,,4,0,True,4,0
4595,25952,84281736,475020,13386,0,111,2,1,22000.0,True,13386,13386,2,5,8,-1,,-99,-99,True,-99,-99
4596,25953,84349869,475020,9776,0,112,3,1,62000.0,True,9776,9776,3,5,75,-1,,-99,-99,True,-99,-99
4598,25954,84687414,475020,2970,0,113,3,1,40000.0,True,2970,2970,3,4,106 67 81,-1,,-99,-99,True,-99,-99
4600,25955,84687414,475020,2972,0,113,1,1,40000.0,True,2972,2970,1,4,82 67 81,-1,,1,0,True,1,0
4603,25956,84687414,475020,2971,0,113,0,0,40000.0,True,2971,2970,2,4,136 67 81,-1,,-99,-99,True,-99,-99
4604,25957,84824749,475020,3244,0,114,3,1,37333.0,True,3244,3243,3,4,82 83 162 29,-1,,-99,-99,True,-99,-99
4606,25958,84824749,475020,3245,0,114,2,1,37333.0,True,3245,3243,2,4,136 83 162 29,-1,,-99,-99,True,-99,-99
4609,25959,84824749,475020,3243,0,114,1,1,37333.0,True,3243,3243,1,4,74 83 162 29,-1,,-99,-99,True,-99,-99
4610,25960,84997639,475020,2586,0,115,0,0,22666.0,True,2586,2584,3,4,161 144 162 38,-1,,-99,-99,True,-99,-99
4613,25961,84997639,475020,2584,0,115,1,0,22666.0,True,2584,2584,3,4,136 144 162 38,-1,,-99,-99,True,-99,-99
4615,25962,84997639,475020,2585,0,115,3,0,22666.0,True,2585,2584,0,4,136 144 162 38,-1,,-99,-99,True,-99,-99
4616,25963,85185442,475020,2908,0,116,0,0,29000.0,True,2908,2907,2,4,136 171 162 38,-1,,-99,-99,True,-99,-99
4618,25964,85185442,475020,2909,0,116,1,0,29000.0,True,2909,2907,3,4,157 171 162 38,-1,,-99,-99,True,-99,-99
4621,25965,85185442,475020,2907,0,116,3,0,29000.0,True,2907,2907,1,4,74 171 162 38,-1,,-99,-99,True,-99,-99
4623,25966,85356199,475020,2588,0,117,0,0,35000.0,True,2588,2587,3,4,161 12 162 102,-1,,-99,-99,True,-99,-99
4624,25967,85356199,475020,2589,0,117,1,1,35000.0,True,2589,2587,1,4,136 12 162 102,-1,,-99,-99,True,-99,-99
4627,25968,85356199,475020,2587,0,117,1,0,35000.0,True,2587,2587,2,4,74 12 162 102,-1,,-99,-99,True,-99,-99
4628,25969,85662760,475020,2486,0,118,1,0,32666.0,True,2486,2485,2,3,74 92 29,-1,,-99,-99,True,37,-99
4630,25970,85662760,475020,2485,0,118,1,0,32666.0,True,2485,2485,2,3,106 92 29,-1,,2,0,True,2,0
4632,25971,85662760,475020,2487,0,118,2,0,32666.0,True,2487,2485,0,3,82 92 29,-1,,-99,-99,True,-99,-99
4634,25972,85953531,475020,2542,0,119,1,1,40666.0,True,2542,2542,1,3,136 38 81,-1,,-99,-99,True,-99,-99
4636,25973,85953531,475020,2544,0,119,0,1,40666.0,True,2544,2542,0,3,136 38 81,-1,,-99,-99,True,-99,-99
4638,25974,85953531,475020,2543,0,119,0,0,40666.0,True,2543,2542,1,3,82 162 38 81,-1,,186,1,True,186,1
4641,25975,86326483,475020,10172,0,120,3,0,32000.0,True,10172,10172,1,6,27,-1,,-99,-99,True,-99,-99
4643,25976,86326483,475020,10174,0,120,0,0,32000.0,True,10174,10172,1,6,128,-1,,-99,-99,True,5,-99
4644,25977,86326483,475020,10173,0,120,3,1,32000.0,True,10173,10172,3,6,1,-1,,195,0,True,195,0
4646,25978,86326483,475020,10175,0,120,2,1,32000.0,True,10175,10172,2,6,75,-1,,-99,-99,True,-99,-99
