,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,previous_answer_index_question_id,previous_answer_question_id,flg
296,13118,85543362,138650,3944,0,47,0,1,28000.0,True,3944,3944,0,5,47,-1,,-99,-99,True
299,13119,85559751,138650,4212,0,48,3,1,21000.0,True,4212,4212,3,5,95,-1,,-99,-99,True
301,13120,85598691,138650,8348,0,49,3,1,8000.0,True,8348,8348,3,5,73,-1,,-99,-99,True
302,13121,85614926,138650,3878,0,50,1,1,31000.0,True,3878,3878,1,5,24,-1,,-99,-99,True
304,13122,85636999,138650,5582,0,51,2,1,9000.0,True,5582,5582,2,5,54,-1,,-99,-99,True
307,13123,85667467,138650,6155,0,52,3,1,15000.0,True,6155,6155,3,5,44,-1,,-99,-99,True
309,13124,85726785,138650,6063,0,53,2,1,23000.0,True,6063,6063,2,5,173,-1,,-99,-99,True
310,13125,85764465,138650,5981,0,54,1,1,37000.0,True,5981,5981,1,5,152,-1,,-99,-99,True
312,13126,85786943,138650,4818,0,55,1,1,12000.0,True,4818,4818,1,5,75,-1,,-99,-99,True
314,13127,85841737,138650,5222,0,56,1,0,12000.0,True,5222,5222,2,5,175,-1,,-99,-99,True
317,13128,85884403,138650,8506,0,57,0,1,19000.0,True,8506,8506,0,5,116,-1,,-99,-99,True
318,13129,85915733,138650,6370,0,58,2,1,6000.0,True,6370,6370,2,5,79,-1,,-99,-99,True
321,13130,85948730,138650,5706,0,59,0,1,22000.0,True,5706,5706,0,5,127,-1,,-99,-99,True
323,13131,85976085,138650,5971,0,60,3,1,22000.0,True,5971,5971,3,5,181,-1,,-99,-99,True
325,13132,86022948,138650,9002,0,61,3,0,17000.0,True,9002,9002,0,5,73,-1,,-99,-99,True
327,13133,86082788,138650,5213,0,62,1,0,32000.0,True,5213,5213,3,5,156,-1,,-99,-99,True
328,13134,86114133,138650,5654,0,63,1,1,29000.0,True,5654,5654,1,5,1,-1,,-99,-99,True
330,13135,86190898,138650,4464,0,64,0,1,8000.0,True,4464,4464,0,5,180,-1,,-99,-99,True
332,13136,86223963,138650,8810,0,65,2,1,61000.0,True,8810,8810,2,5,170,-1,,-99,-99,True
335,13137,86242864,138650,6356,0,66,3,1,13000.0,True,6356,6356,3,5,73,-1,,-99,-99,True
337,13138,86293429,138650,4257,0,67,3,1,10000.0,True,4257,4257,3,5,151,-1,,-99,-99,True
339,13139,86337741,138650,4020,0,68,1,0,33000.0,True,4020,4020,2,5,147,-1,,-99,-99,True
341,13140,86366974,138650,8844,0,69,1,1,21000.0,True,8844,8844,1,5,73,-1,,-99,-99,True
342,13141,86421900,138650,4130,0,70,1,0,16000.0,True,4130,4130,2,5,47,-1,,-99,-99,True
344,13142,86453474,138650,5664,0,71,0,0,29000.0,True,5664,5664,3,5,123,-1,,-99,-99,True
346,13143,86723889,138650,6814,0,72,0,1,6000.0,True,6814,6813,0,6,73,-1,,-99,-99,True
348,13144,86723889,138650,6813,0,72,1,1,6000.0,True,6813,6813,1,6,85,-1,,-99,-99,True
350,13145,86723889,138650,6815,0,72,0,1,6000.0,True,6815,6813,0,6,181,-1,,-99,-99,True
352,13146,86723889,138650,6816,0,72,0,1,6000.0,True,6816,6813,0,6,27,-1,,-99,-99,True
354,13147,86866821,138650,6740,0,73,0,1,45500.0,True,6740,6737,0,6,80,-1,,-99,-99,True
356,13148,86866821,138650,6737,0,73,3,0,45500.0,True,6737,6737,1,6,8,-1,,-99,-99,True
359,13149,86866821,138650,6739,0,73,1,1,45500.0,True,6739,6737,1,6,27,-1,,-99,-99,True
361,13150,86866821,138650,6738,0,73,2,0,45500.0,True,6738,6737,1,6,1,-1,,165,0,True
363,13151,87063121,138650,6842,0,74,0,1,32250.0,True,6842,6841,0,6,1,-1,,219,0,True
365,13152,87063121,138650,6843,0,74,1,1,32250.0,True,6843,6841,1,6,181,-1,,2,-99,False
366,13153,87063121,138650,6841,0,74,0,0,32250.0,True,6841,6841,1,6,132,-1,,82,0,True
368,13154,87063121,138650,6844,0,74,1,0,32250.0,True,6844,6841,2,6,27,-1,,2,-99,False
370,13155,87204885,138650,10156,0,75,1,1,44250.0,True,10156,10156,1,6,109,-1,,141,1,True
372,13156,87204885,138650,10159,0,75,2,1,44250.0,True,10159,10156,2,6,26,-1,,145,0,True
374,13157,87204885,138650,10158,0,75,3,0,44250.0,True,10158,10156,0,6,27,-1,,-99,-99,True
376,13158,87204885,138650,10157,0,75,0,1,44250.0,True,10157,10156,0,6,1,-1,,-99,-99,True
379,13159,87408750,138650,6848,0,76,3,1,27000.0,True,6848,6845,3,6,27 162,-1,,-99,-99,True
380,13160,87408750,138650,6845,0,76,3,1,27000.0,True,6845,6845,3,6,53 162,-1,,-99,-99,True
383,13161,87408750,138650,6846,0,76,3,1,27000.0,True,6846,6845,3,6,55 162,-1,,-99,-99,True
385,13162,87408750,138650,6847,0,76,0,0,27000.0,True,6847,6845,3,6,73 162,-1,,-99,-99,True
387,13163,131241455,138650,665,0,77,0,0,40750.0,True,665,665,1,2,143 114 38 81,-1,,-99,-99,True
389,13164,131275957,138650,638,0,78,3,0,19000.0,True,638,638,0,2,143 176 6 38 92,-1,,104,0,True
390,13165,131302428,138650,1154,0,79,3,0,20000.0,True,1154,1154,1,2,129 143 30 81 29,-1,,22,1,True
392,13166,131352442,138650,10684,0,80,1,0,18000.0,True,10684,10684,0,2,62 137 142 92 29,-1,,-99,-99,True
395,13167,131378582,138650,279,0,81,0,1,32000.0,True,279,279,0,2,138 41 38 81,-1,,-99,-99,True
396,13168,131407210,138650,967,0,82,0,0,17000.0,True,967,967,1,2,137 88 92 29,-1,,-99,-99,True
398,13169,131449942,138650,1389,0,83,1,1,19000.0,True,1389,1389,1,2,155 163 162 38 92,-1,,-99,-99,True
401,13170,131493013,138650,294,0,84,3,1,20000.0,True,294,294,3,2,155 119 38 81,-1,,-99,-99,True
403,13171,131531901,138650,1315,0,85,0,0,19000.0,True,1315,1315,3,2,2 107 62 29 102,-1,,-99,-99,True
404,13172,131563745,138650,1083,0,86,1,1,20000.0,True,1083,1083,1,2,155 119 81 92,-1,,-99,-99,True
407,13173,131594893,138650,1260,0,87,0,1,14000.0,True,1260,1260,0,2,62 155 163 29 102,-1,,-99,-99,True
408,13174,131628141,138650,10688,0,88,0,1,18000.0,True,10688,10688,0,2,62 137 142 81 92,-1,,-99,-99,True
411,13175,131659358,138650,560,0,89,3,0,20000.0,True,560,560,0,2,138 41 38 81,-1,,-99,-99,True
413,13176,131685418,138650,972,0,90,0,1,21000.0,True,972,972,0,2,2 107 92 29,-1,,-99,-99,True
415,13177,131714662,138650,293,0,91,0,0,17000.0,True,293,293,1,2,143 20 81 92,-1,,-99,-99,True
417,13178,131751090,138650,10685,0,92,0,1,17000.0,True,10685,10685,0,2,69 137 142 38 29,-1,,-99,-99,True
418,13179,131907920,138650,6765,0,93,1,1,17000.0,True,6765,6765,1,6,174,-1,,-99,-99,True
420,13180,131907920,138650,6767,0,93,1,1,17000.0,True,6767,6765,1,6,27,-1,,-99,-99,True
423,13181,131907920,138650,6766,0,93,0,1,17000.0,True,6766,6765,0,6,109,-1,,-99,-99,True
425,13182,131907920,138650,6768,0,93,0,0,17000.0,True,6768,6765,3,6,123,-1,,-99,-99,True
427,13183,131997990,138650,6865,0,94,3,1,25000.0,True,6865,6865,3,6,52 162,-1,,-99,-99,True
428,13184,131997990,138650,6868,0,94,0,1,25000.0,True,6868,6865,0,6,53 162,-1,,-99,-99,True
431,13185,131997990,138650,6867,0,94,3,1,25000.0,True,6867,6865,3,6,33 162,-1,,-99,-99,True
432,13186,131997990,138650,6866,0,94,3,1,25000.0,True,6866,6865,3,6,27 162,-1,,-99,-99,True
435,13187,132139477,138650,10047,0,95,2,1,18750.0,True,10047,10046,2,6,177,-1,,-99,-99,True
437,13188,132139477,138650,10046,0,95,2,0,18750.0,True,10046,10046,3,6,147,-1,,-99,-99,True
438,13189,132139477,138650,10049,0,95,1,0,18750.0,True,10049,10046,0,6,8,-1,,-99,-99,True
440,13190,132139477,138650,10048,0,95,3,0,18750.0,True,10048,10046,2,6,27,-1,,-99,-99,True
442,13191,132366955,138650,6769,0,96,2,0,26500.0,True,6769,6769,0,6,173,-1,,-99,-99,True
444,13192,132366955,138650,6771,0,96,0,0,26500.0,True,6771,6769,1,6,27,-1,,-99,-99,True
446,13193,132366955,138650,6770,0,96,2,1,26500.0,True,6770,6769,2,6,7,-1,,-99,-99,True
449,13194,132366955,138650,6772,0,96,0,1,26500.0,True,6772,6769,0,6,79,-1,,26,-99,False
450,13195,132503877,138650,6634,0,97,0,1,44000.0,True,6634,6633,0,6,179,-1,,60,1,True
452,13196,132503877,138650,6635,0,97,0,0,44000.0,True,6635,6633,3,6,27,-1,,159,0,True
454,13197,132503877,138650,6633,0,97,2,0,44000.0,True,6633,6633,1,6,73,-1,,-99,-99,True
457,13198,132503877,138650,6636,0,97,3,1,44000.0,True,6636,6633,3,6,109,-1,,-99,-99,True
459,13199,163129487,138650,1847,0,98,1,1,29250.0,True,1847,1847,1,3,106 38 81,-1,,-99,-99,True
461,13200,163129487,138650,1848,0,98,2,1,29250.0,True,1848,1847,2,3,136 38 81,-1,,-99,-99,True
463,13201,163129487,138650,1849,0,98,0,1,29250.0,True,1849,1847,0,3,113 38 81,-1,,-99,-99,True
465,13202,163242838,138650,2480,0,99,3,1,24333.0,True,2480,2479,3,3,106 92 29,-1,,-99,-99,True
466,13203,163242838,138650,2481,0,99,3,0,24333.0,True,2481,2479,1,3,157 92 29,-1,,-99,-99,True
468,13204,163242838,138650,2479,0,99,0,1,24333.0,True,2479,2479,0,3,74 92 29,-1,,-99,-99,True
471,13205,163344004,138650,2279,0,100,0,1,25666.0,True,2279,2278,0,3,74 81 92,-1,,-99,-99,True
472,13206,163344004,138650,2278,0,100,2,1,25666.0,True,2278,2278,2,3,106 81 92,-1,,-99,-99,True
474,13207,163344004,138650,2280,0,100,2,1,25666.0,True,2280,2278,2,3,113 81 92,-1,,-99,-99,True
476,13208,163444675,138650,1474,0,101,0,1,24666.0,True,1474,1472,0,3,82 38 29,-1,,-99,-99,True
478,13209,163444675,138650,1473,0,101,0,1,24666.0,True,1473,1472,0,3,136 38 29,-1,,-99,-99,True
481,13210,163444675,138650,1472,0,101,0,1,24666.0,True,1472,1472,0,3,136 38 29,-1,,-99,-99,True
482,13211,163570088,138650,1511,0,102,2,1,26333.0,True,1511,1511,2,3,106 38 81 92,-1,,-99,-99,True
484,13212,163570088,138650,1513,0,102,0,0,26333.0,True,1513,1511,2,3,157 38 81 92,-1,,-99,-99,True
486,13213,163570088,138650,1512,0,102,0,1,26333.0,True,1512,1511,0,3,136 38 81 92,-1,,-99,-99,True
489,13214,220170296,138650,10081,0,105,2,1,31333.0,True,10081,10078,2,6,27,-1,,-99,-99,True
491,13215,220170296,138650,10079,0,105,3,0,31333.0,True,10079,10078,2,6,181,-1,,-99,-99,True
492,13216,220170296,138650,10080,0,105,1,1,31333.0,True,10080,10078,1,6,73,-1,,-99,-99,True
495,13217,220170296,138650,10078,0,105,0,1,31333.0,True,10078,10078,0,6,14,-1,,-99,-99,True
497,13218,220293358,138650,10174,0,106,1,1,23250.0,True,10174,10172,1,6,128,-1,,-99,-99,True
498,13219,220293358,138650,10173,0,106,1,0,23250.0,True,10173,10172,3,6,1,-1,,-99,-99,True
501,13220,220293358,138650,10175,0,106,2,1,23250.0,True,10175,10172,2,6,75,-1,,-99,-99,True
502,13221,220293358,138650,10172,0,106,3,0,23250.0,True,10172,10172,1,6,27,-1,,-99,-99,True
504,13222,220443888,138650,6880,0,107,0,1,20500.0,True,6880,6877,0,6,73,-1,,-99,-99,True
507,13223,220443888,138650,6879,0,107,2,1,20500.0,True,6879,6877,2,6,27,-1,,-99,-99,True
508,13224,220443888,138650,6878,0,107,1,1,20500.0,True,6878,6877,1,6,65,-1,,-99,-99,True
510,13225,220443888,138650,6877,0,107,2,1,20500.0,True,6877,6877,2,6,96,-1,,-99,-99,True
512,13226,312379483,138650,8470,0,108,0,1,23500.0,True,8470,8470,0,5,7,-1,,-99,-99,True
515,13227,312396159,138650,9825,0,109,0,1,24000.0,True,9825,9825,0,5,53,-1,,-99,-99,True
517,13228,312416773,138650,5262,0,110,0,1,7000.0,True,5262,5262,0,5,65,-1,,-99,-99,True
519,13229,312444921,138650,4256,0,111,3,1,10000.0,True,4256,4256,3,5,43,-1,,-99,-99,True
521,13230,312487938,138650,5350,0,112,2,1,19000.0,True,5350,5350,2,5,179,-1,,-99,-99,True
522,13231,312522494,138650,9419,0,113,0,1,28000.0,True,9419,9419,0,5,53,-1,,-99,-99,True
524,13232,312575235,138650,9283,0,114,3,0,20000.0,True,9283,9283,1,5,95,-1,,-99,-99,True
527,13233,312635998,138650,5906,0,115,3,1,26000.0,True,5906,5906,3,5,89,-1,,-99,-99,True
528,13234,312690929,138650,5967,0,116,1,0,31000.0,True,5967,5967,0,5,60,-1,,-99,-99,True
530,13235,312765136,138650,9104,0,117,1,1,39000.0,True,9104,9104,1,5,173,-1,,-99,-99,True
532,13236,312859926,138650,6258,0,118,0,1,44000.0,True,6258,6258,0,5,134,-1,,-99,-99,True
534,13237,312914527,138650,5038,0,119,2,0,81000.0,True,5038,5038,0,5,151,-1,,-99,-99,True
537,13238,312952348,138650,6479,0,120,3,1,35000.0,True,6479,6479,3,5,173,-1,,-99,-99,True
538,13239,312992787,138650,9400,0,121,2,1,18000.0,True,9400,9400,2,5,53,-1,,-99,-99,True
540,13240,559070230,138650,173,0,123,2,0,31000.0,True,173,173,1,1,10 70 92,-1,,-99,-99,True
543,13241,559105048,138650,58,0,124,3,0,28000.0,True,58,58,0,1,10 164 92,-1,,-99,-99,True
545,13242,559142080,138650,157,0,125,2,0,22000.0,True,157,157,3,1,131 5 38,-1,,-99,-99,True
547,13243,559176588,138650,10636,0,126,0,1,22000.0,True,10636,10636,0,1,9 10 81,-1,,-99,-99,True
548,13244,559214350,138650,7974,0,127,3,0,20000.0,True,7974,7974,1,1,61 110 81,-1,,-99,-99,True
550,13245,559247862,138650,88,0,128,1,1,26000.0,True,88,88,1,1,131 101 102,-1,,-99,-99,True
553,13246,559286538,138650,76,0,129,1,0,23000.0,True,76,76,3,1,10 94 92,-1,,-99,-99,True
554,13247,559321865,138650,10459,0,130,1,1,23000.0,True,10459,10459,1,1,10 94 92,-1,,-99,-99,True
556,13248,559354628,138650,18,0,131,1,1,22000.0,True,18,18,1,1,61 110 92,-1,,-99,-99,True
558,13249,559388867,138650,7898,0,132,2,1,22000.0,True,7898,7898,2,1,131 99 29,-1,,-99,-99,True
560,13251,559482455,138650,7974,0,134,1,1,24000.0,True,7974,7974,1,1,61 110 81,-1,,264,0,True
562,13252,559516139,138650,7964,0,135,0,1,19000.0,True,7964,7964,0,1,61 110 102,-1,,2,-99,False
564,13253,559563651,138650,981,0,136,0,0,23000.0,True,981,981,3,2,143 176 81 92,-1,,267,0,True
567,13254,559595192,138650,951,0,137,1,0,20000.0,True,951,951,0,2,143 140 6 81 92,-1,,-99,-99,True
568,13255,559629786,138650,824,0,138,0,1,15000.0,True,824,824,0,2,17 56 81 92,-1,,-99,-99,True
570,13256,559672128,138650,10685,0,139,3,0,16000.0,True,10685,10685,0,2,69 137 142 38 29,-1,,-99,-99,True
572,13257,559703333,138650,199,0,140,0,0,28000.0,True,199,199,3,2,143 140 6 38 102,-1,,-99,-99,True
574,13258,559743993,138650,419,0,141,0,1,16000.0,True,419,419,0,2,143 114 92 102,-1,,-99,-99,True
576,13259,559779119,138650,284,0,142,0,0,23000.0,True,284,284,1,2,155 163 81 29,-1,,-99,-99,True
579,13260,559809281,138650,10687,0,143,1,1,20000.0,True,10687,10687,1,2,62 137 142 81 92,-1,,65,1,True
580,13261,559838908,138650,423,0,144,1,1,19000.0,True,423,423,1,2,143 140 69 92 102,-1,,67,0,True
583,13262,559882075,138650,1313,0,145,1,0,20000.0,True,1313,1313,0,2,17 56 92 102,-1,,6,0,True
585,13263,559923023,138650,405,0,146,3,0,21000.0,True,405,405,1,2,17 56 38 92,-1,,-99,-99,True
587,13264,559956758,138650,10686,0,147,3,0,19000.0,True,10686,10686,0,2,62 137 142 38 29,-1,,-99,-99,True
589,13265,559989873,138650,258,0,148,3,0,20000.0,True,258,258,1,2,143 30 81 92,-1,,-99,-99,True
591,13266,560023802,138650,739,0,149,3,0,20000.0,True,739,739,0,2,143 20 38 81,-1,,-99,-99,True
593,13267,560060726,138650,583,0,150,3,0,21000.0,True,583,583,1,2,143 69 20 38 29,-1,,-99,-99,True
594,13268,560097208,138650,787,0,151,3,1,20000.0,True,787,787,3,2,90 119 38 92,-1,,294,1,True
597,13269,560202977,138650,5692,0,122,3,1,18000.0,True,5692,5692,3,5,151,-1,,264,1,True
598,13270,560240491,138650,4496,0,152,0,1,13000.0,True,4496,4496,0,5,78,-1,,263,1,True
600,13271,560274584,138650,4417,0,153,0,1,6000.0,True,4417,4417,0,5,44,-1,,-99,-99,True
602,13272,560307027,138650,9045,0,154,0,0,26000.0,True,9045,9045,3,5,91,-1,,-99,-99,True
605,13273,560347714,138650,9284,0,155,0,1,11000.0,True,9284,9284,0,5,7,-1,,-99,-99,True
606,13274,560361837,138650,4231,0,156,1,1,19000.0,True,4231,4231,1,5,89,-1,,-99,-99,True
609,13275,562333659,138650,6431,0,157,0,1,5000.0,True,6431,6431,0,5,28,-1,,-99,-99,True
610,13276,564268098,138650,8769,0,158,3,1,59000.0,True,8769,8769,3,5,174,-1,,-99,-99,True
612,13277,564285581,138650,5670,0,159,3,1,23000.0,True,5670,5670,3,5,123,-1,,-99,-99,True
615,13278,564301264,138650,4319,0,160,0,1,10000.0,True,4319,4319,0,5,14,-1,,-99,-99,True
616,13279,564322615,138650,4428,0,161,0,1,8000.0,True,4428,4428,0,5,65,-1,,-99,-99,True
619,13280,564337557,138650,9453,0,162,1,1,14000.0,True,9453,9453,1,5,1,-1,,-99,-99,True
620,13281,564365181,138650,3636,0,163,1,1,5000.0,True,3636,3636,1,5,132,-1,,-99,-99,True
622,13282,579094447,138650,3742,0,164,2,1,17000.0,True,3742,3742,2,5,60,-1,,-99,-99,True
624,13283,593845067,138650,5420,0,165,3,1,16000.0,True,5420,5420,3,5,133,-1,,-99,-99,True
627,13284,593899876,138650,9508,0,166,1,1,34000.0,True,9508,9508,1,5,53,-1,,-99,-99,True
628,13285,593953316,138650,4116,0,167,1,0,39000.0,True,4116,4116,2,5,73,-1,,-99,-99,True
630,13286,593979083,138650,3864,0,168,1,1,37000.0,True,3864,3864,1,5,75,-1,,-99,-99,True
